COUNTRY,YEAR_CODE,WEEK_CODE,MEASURE_CODE,AGEGROUP_CODE,VIRUSTYPE_CODE,VIRUS_SUB_CODE,INF_CONF_CODE,SAMPLED_CODE,DataValue
Republic of Moldova,2018,40,ILI CASES,0TO4,,,,,0.00
Republic of Moldova,2018,40,ILI CASES,5TO14,,,,,0.00
Republic of Moldova,2018,40,ILI CASES,15TO64,,,,,0.00
Republic of Moldova,2018,40,ILI CASES,65TO,,,,,0.00
Republic of Moldova,2018,40,ILI CASES,UNKNOWN,,,,,0.00
Republic of Moldova,2018,40,ILI CASES,ALL,,,,,0.00
Republic of Moldova,2018,40,ILI POPULATION COVERED,0TO4,,,,,26215.00
Republic of Moldova,2018,40,ILI POPULATION COVERED,5TO14,,,,,41820.00
Republic of Moldova,2018,40,ILI POPULATION COVERED,15TO64,,,,,262968.00
Republic of Moldova,2018,40,ILI POPULATION COVERED,65TO,,,,,45996.00
Republic of Moldova,2018,40,ILI POPULATION COVERED,UNKNOWN,,,,,0.00
Republic of Moldova,2018,40,ILI POPULATION COVERED,ALL,,,,,376999.00
Republic of Moldova,2018,40,ARI CASES,0TO4,,,,,349.00
Republic of Moldova,2018,40,ARI CASES,5TO14,,,,,260.00
Republic of Moldova,2018,40,ARI CASES,15TO64,,,,,227.00
Republic of Moldova,2018,40,ARI CASES,65TO,,,,,18.00
Republic of Moldova,2018,40,ARI CASES,UNKNOWN,,,,,0.00
Republic of Moldova,2018,40,ARI CASES,ALL,,,,,854.00
Republic of Moldova,2018,40,ARI POPULATION COVERED,0TO4,,,,,26215.00
Republic of Moldova,2018,40,ARI POPULATION COVERED,5TO14,,,,,41820.00
Republic of Moldova,2018,40,ARI POPULATION COVERED,15TO64,,,,,262968.00
Republic of Moldova,2018,40,ARI POPULATION COVERED,65TO,,,,,45996.00
Republic of Moldova,2018,40,ARI POPULATION COVERED,UNKNOWN,,,,,0.00
Republic of Moldova,2018,40,ARI POPULATION COVERED,ALL,,,,,376999.00
Republic of Moldova,2018,40,SARI CASES,0TO4,,,,,49.00
Republic of Moldova,2018,40,SARI CASES,5TO14,,,,,7.00
Republic of Moldova,2018,40,SARI CASES,15TO64,,,,,29.00
Republic of Moldova,2018,40,SARI CASES,15TO29,,,,,8.00
Republic of Moldova,2018,40,SARI CASES,30TO64,,,,,14.00
